lon;lat;ele;time
37.237819;-3.169833;1908;2020-01-26-11-30-30
37.237808;-3.169803;1908.8;2020-01-26-11-30-33
37.237787;-3.16977;1909.3;2020-01-26-11-30-37
37.237769;-3.169748;1909.6;2020-01-26-11-30-40
37.237745;-3.169724;1910.1;2020-01-26-11-30-44
37.237718;-3.169689;1910.7;2020-01-26-11-30-48
37.237706;-3.169658;1911.2;2020-01-26-11-30-51
37.237687;-3.169626;1911.5;2020-01-26-11-30-55
37.23766;-3.169599;1911.7;2020-01-26-11-30-59
37.237635;-3.169568;1911.9;2020-01-26-11-31-02
37.237618;-3.169544;1912;2020-01-26-11-31-05
37.237597;-3.169513;1912.2;2020-01-26-11-31-09
37.237576;-3.169478;1912.7;2020-01-26-11-31-13
37.237558;-3.169449;1913;2020-01-26-11-31-16
37.237542;-3.169421;1913.3;2020-01-26-11-31-19
37.237527;-3.169394;1913.6;2020-01-26-11-31-22
37.237515;-3.169365;1913.9;2020-01-26-11-31-25
37.237501;-3.169329;1914.4;2020-01-26-11-31-30
37.23749;-3.169288;1914.9;2020-01-26-11-31-34
37.237485;-3.169249;1915.4;2020-01-26-11-31-39
37.23748;-3.169218;1915.7;2020-01-26-11-31-42
37.237476;-3.169184;1916.1;2020-01-26-11-31-46
37.237462;-3.169146;1916.3;2020-01-26-11-31-51
37.237451;-3.169113;1916.5;2020-01-26-11-31-55
37.237442;-3.169083;1916.8;2020-01-26-11-31-58
37.237429;-3.169051;1917.2;2020-01-26-11-32-01
37.237414;-3.169019;1917.3;2020-01-26-11-32-05
37.237401;-3.168988;1917.3;2020-01-26-11-32-08
37.237389;-3.16896;1917.3;2020-01-26-11-32-11
37.237367;-3.168924;1917.7;2020-01-26-11-32-15
37.237348;-3.168899;1918.1;2020-01-26-11-32-17
37.237325;-3.168877;1918.4;2020-01-26-11-32-20
37.237289;-3.168841;1919;2020-01-26-11-32-23
37.237271;-3.16882;1919.3;2020-01-26-11-32-26
37.237252;-3.1688;1919.7;2020-01-26-11-32-30
37.237232;-3.168777;1920.2;2020-01-26-11-32-34
37.237212;-3.168748;1920.9;2020-01-26-11-32-41
37.2372;-3.168719;1921.5;2020-01-26-11-32-44
37.237187;-3.168681;1921.8;2020-01-26-11-32-49
37.237175;-3.168652;1921.9;2020-01-26-11-32-52
37.237163;-3.168625;1921.9;2020-01-26-11-32-54
37.237148;-3.168591;1921.9;2020-01-26-11-32-57
37.237138;-3.168562;1921.9;2020-01-26-11-33-00
37.237125;-3.16853;1921.9;2020-01-26-11-33-03
37.237117;-3.168503;1922.1;2020-01-26-11-33-05
37.23711;-3.168475;1922.2;2020-01-26-11-33-08
37.237104;-3.168448;1922.4;2020-01-26-11-33-11
37.2371;-3.168418;1922.6;2020-01-26-11-33-14
37.237101;-3.168383;1922.8;2020-01-26-11-33-18
37.237104;-3.168353;1922.9;2020-01-26-11-33-21
37.237107;-3.168321;1923;2020-01-26-11-33-24
37.237112;-3.168291;1923.2;2020-01-26-11-33-27
37.237116;-3.168263;1923.4;2020-01-26-11-33-30
37.237123;-3.168225;1923.6;2020-01-26-11-33-34
37.237127;-3.168194;1923.9;2020-01-26-11-33-39
37.237133;-3.168162;1924.1;2020-01-26-11-33-43
37.237139;-3.168134;1924.4;2020-01-26-11-33-46
37.237142;-3.168106;1924.8;2020-01-26-11-33-50
37.237143;-3.168076;1925.2;2020-01-26-11-33-54
37.237133;-3.168046;1925.8;2020-01-26-11-34-01
37.237132;-3.168009;1926.4;2020-01-26-11-34-06
37.237136;-3.167971;1927.2;2020-01-26-11-34-11
37.237144;-3.167939;1927.8;2020-01-26-11-34-15
37.23716;-3.167904;1928.5;2020-01-26-11-34-20
37.237174;-3.167879;1928.8;2020-01-26-11-34-23
37.237192;-3.167844;1929.3;2020-01-26-11-34-28
37.237209;-3.167817;1929.4;2020-01-26-11-34-33
37.237229;-3.167794;1929.6;2020-01-26-11-34-38
37.237248;-3.167771;1929.7;2020-01-26-11-34-42
37.237267;-3.167745;1929.8;2020-01-26-11-34-46
37.237284;-3.167716;1930;2020-01-26-11-34-50
37.237304;-3.167681;1930;2020-01-26-11-34-55
37.237329;-3.167653;1930.1;2020-01-26-11-34-59
37.237356;-3.167622;1930.1;2020-01-26-11-35-03
37.237373;-3.167601;1930.1;2020-01-26-11-35-06
37.23739;-3.167577;1930.1;2020-01-26-11-35-09
37.237405;-3.16755;1930.1;2020-01-26-11-35-14
37.23742;-3.167516;1930.2;2020-01-26-11-35-19
37.23743;-3.167484;1930.3;2020-01-26-11-35-24
37.237443;-3.167447;1930.6;2020-01-26-11-35-28
37.237453;-3.167416;1930.9;2020-01-26-11-35-31
37.237466;-3.167381;1931.6;2020-01-26-11-35-34
37.23749;-3.167341;1932.6;2020-01-26-11-35-38
37.237508;-3.167315;1932.9;2020-01-26-11-35-41
37.237526;-3.167286;1933.2;2020-01-26-11-35-44
37.23754;-3.167252;1933.9;2020-01-26-11-35-47
37.237549;-3.167222;1934.5;2020-01-26-11-35-50
37.237554;-3.167189;1935.1;2020-01-26-11-35-52
37.237557;-3.167161;1935.4;2020-01-26-11-35-55
37.237561;-3.167122;1936;2020-01-26-11-35-58
37.237571;-3.167086;1936.8;2020-01-26-11-36-02
